Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
USA,2023.0449864117056,DDoS,Retail,345.0,352.0,Hacker Group,Zero-day,VPN,348.0
Australia,2018.9890685031564,Malware,Government,303.0,354.0,Insider,Unpatched Software,Antivirus,346.0
UK,2015.1508280615587,Phishing,IT,54.0,142.0,Hacker Group,Weak Passwords,AI-based Detection,237.0
France,2017.9491437125764,Phishing,Unknown,287.0,276.0,Insider,Social Engineering,Encryption,
India,2018.7698322292351,Man-in-the-Middle,Education,377.0,396.0,Nation-state,Zero-day,AI-based Detection,423.0
India,2020.234718034124,DDoS,Banking,297.0,321.0,Nation-state,Unpatched Software,AI-based Detection,357.0
UK,2020.823778895156,Malware,Healthcare,413.0,408.0,Unknown,Weak Passwords,Antivirus,396.0
India,2017.877134810252,DDoS,Healthcare,253.0,298.0,Hacker Group,Unpatched Software,Firewall,338.0
Brazil,,Phishing,Banking,,,Hacker Group,Social Engineering,VPN,310.0
Australia,2024.295488403464,Phishing,,287.0,262.0,Unknown,Unpatched Software,VPN,342.0
India,2019.092150959376,Phishing,Healthcare,175.0,245.0,Nation-state,Zero-day,VPN,250.0
China,2014.923493267664,Phishing,Government,146.0,187.0,Nation-state,Zero-day,Firewall,356.0
India,2023.7728717687007,DDoS,Education,287.0,318.0,Nation-state,Social Engineering,Unknown,342.0
UK,2018.0738273658503,,Retail,229.0,231.0,Unknown,Weak Passwords,Antivirus,377.0
China,2023.8429522788915,Malware,Education,352.0,374.0,Hacker Group,Zero-day,Firewall,310.0
UK,2015.8823446577608,DDoS,Banking,97.0,203.0,Nation-state,Social Engineering,Firewall,209.0
Australia,2021.9651390835384,Malware,Healthcare,408.0,407.0,Unknown,Weak Passwords,Encryption,387.0
Russia,2016.906001623624,Man-in-the-Middle,Education,152.0,247.0,Nation-state,Weak Passwords,Antivirus,238.0
France,2015.9330399470923,DDoS,Banking,287.0,270.0,Unknown,Zero-day,VPN,
China,2020.8268471136728,Phishing,Healthcare,287.0,389.0,Unknown,Unpatched Software,Firewall,342.0
Brazil,2015.1169776078152,DDoS,IT,321.0,353.0,Unknown,Weak Passwords,AI-based Detection,455.0
USA,2015.2883351192563,Unknown,Telecommunications,124.0,161.0,Nation-state,Social Engineering,Firewall,359.0
UK,2018.918596209012,Phishing,IT,224.0,264.0,Insider,Unpatched Software,Antivirus,333.0
Brazil,2021.967810434185,Phishing,Telecommunications,301.0,380.0,Nation-state,Unknown,Encryption,234.0
Germany,2017.8880777405047,Ransomware,Banking,350.0,384.0,Nation-state,Unpatched Software,VPN,379.0
Australia,2023.111703536448,Phishing,Telecommunications,370.0,365.0,Nation-state,Zero-day,AI-based Detection,350.0
France,2016.9784964219311,Phishing,Banking,97.0,205.0,Hacker Group,Unpatched Software,Encryption,194.0
USA,2022.1696170174744,Ransomware,Education,365.0,406.0,Nation-state,Weak Passwords,Antivirus,313.0
Russia,2022.17045406311,Unknown,Banking,413.0,426.0,Unknown,Social Engineering,Firewall,385.0
Brazil,,Malware,Education,287.0,318.0,Hacker Group,Zero-day,Encryption,231.0
France,2024.020245421412,Phishing,Unknown,455.0,432.0,Hacker Group,Unpatched Software,Unknown,419.0
Brazil,2021.0389294459744,DDoS,IT,459.0,404.0,Unknown,Weak Passwords,Encryption,522.0
Australia,2023.996232068533,Malware,Healthcare,287.0,430.0,Hacker Group,Social Engineering,AI-based Detection,342.0
Germany,2016.253090312344,Man-in-the-Middle,Healthcare,304.0,343.0,Nation-state,Social Engineering,AI-based Detection,413.0
Japan,2019.2075794114287,Malware,Banking,279.0,299.0,Insider,Weak Passwords,Encryption,365.0
France,2022.9648252600705,Malware,Government,367.0,347.0,Insider,Zero-day,Unknown,373.0
Japan,2018.621676953083,Man-in-the-Middle,Banking,267.0,318.0,Nation-state,Zero-day,Firewall,334.0
UK,2014.88285954798,DDoS,Telecommunications,155.0,181.0,Nation-state,Unpatched Software,Antivirus,382.0
Brazil,2021.9451678320704,DDoS,Unknown,,310.0,Nation-state,Social Engineering,AI-based Detection,
India,2019.9333603889245,SQL Injection,Education,247.0,290.0,Nation-state,Weak Passwords,Encryption,290.0
Australia,2017.0805547668867,SQL Injection,Healthcare,251.0,247.0,Hacker Group,Unpatched Software,Firewall,442.0
UK,2022.6684919961272,DDoS,Banking,332.0,407.0,Nation-state,Weak Passwords,AI-based Detection,242.0
UK,2023.882927127252,DDoS,,431.0,472.0,Hacker Group,Weak Passwords,Antivirus,295.0
France,2023.0153685201767,Man-in-the-Middle,Retail,,318.0,Hacker Group,Unpatched Software,Antivirus,
Australia,2022.857151350116,Malware,Telecommunications,522.0,505.0,Hacker Group,Unknown,AI-based Detection,454.0
UK,2019.9560463382988,Ransomware,Banking,192.0,240.0,Nation-state,Weak Passwords,Firewall,268.0
Germany,2023.9802499312293,Unknown,Healthcare,313.0,414.0,Nation-state,Social Engineering,Unknown,166.0
France,2021.0394416319025,DDoS,Healthcare,315.0,353.0,Nation-state,Unpatched Software,AI-based Detection,300.0
UK,2020.9228499027192,DDoS,Education,269.0,302.0,Nation-state,Social Engineering,Encryption,298.0
Japan,2022.878963875972,Malware,Education,483.0,456.0,Insider,Unpatched Software,Firewall,445.0
India,2018.0319898014263,Ransomware,Retail,220.0,288.0,Hacker Group,Unpatched Software,Antivirus,294.0
Japan,2020.9433304483985,Ransomware,IT,435.0,447.0,Hacker Group,Weak Passwords,Firewall,409.0
Australia,2022.229778386861,Malware,Banking,293.0,340.0,Insider,Zero-day,Encryption,263.0
Japan,2022.104274862441,SQL Injection,IT,352.0,369.0,Unknown,Social Engineering,AI-based Detection,355.0
Brazil,2015.1381238781453,Malware,Retail,50.0,134.0,Hacker Group,Unpatched Software,VPN,245.0
Germany,2017.649596452116,Phishing,Banking,305.0,298.0,Hacker Group,Weak Passwords,Antivirus,440.0
Germany,2020.1381529543785,SQL Injection,Education,328.0,341.0,Unknown,,Antivirus,377.0
Brazil,2022.9553483403413,Man-in-the-Middle,IT,459.0,456.0,Nation-state,Social Engineering,Encryption,409.0
UK,2018.9199666606407,Malware,Education,255.0,335.0,Nation-state,Unpatched Software,AI-based Detection,262.0
Brazil,2019.9248480793788,DDoS,Banking,310.0,354.0,Unknown,Unknown,Encryption,345.0
Japan,2020.040195358517,DDoS,Healthcare,270.0,330.0,Unknown,Zero-day,VPN,281.0
Russia,2018.1437705647056,Malware,Telecommunications,287.0,318.0,Unknown,Unknown,VPN,342.0
Japan,2019.872341846555,Man-in-the-Middle,Banking,231.0,285.0,Insider,Unpatched Software,Antivirus,280.0
Unknown,2015.986903809524,,Banking,175.0,248.0,Nation-state,Unpatched Software,VPN,297.0
Unknown,2021.038264554392,Malware,Retail,426.0,396.0,Hacker Group,Unpatched Software,Antivirus,470.0
Australia,2022.8603749256577,Man-in-the-Middle,Banking,367.0,410.0,Unknown,Zero-day,Firewall,305.0
UK,2023.956745996304,Phishing,Government,428.0,413.0,Unknown,Weak Passwords,Firewall,394.0
China,2024.0476029340853,Ransomware,Telecommunications,,318.0,Nation-state,Social Engineering,AI-based Detection,342.0
Germany,2022.027951669227,Man-in-the-Middle,Healthcare,377.0,392.0,Nation-state,Unpatched Software,Encryption,369.0
Russia,2020.988969718924,Malware,IT,410.0,420.0,Insider,Social Engineering,Encryption,406.0
UK,2023.1167846175044,SQL Injection,Banking,444.0,427.0,Nation-state,Unpatched Software,Firewall,401.0
Russia,2015.981796029729,Malware,Retail,245.0,297.0,Hacker Group,Weak Passwords,Encryption,350.0
Russia,2022.8155570496413,Ransomware,Banking,388.0,379.0,Unknown,Social Engineering,VPN,379.0
France,2020.9042872396408,Man-in-the-Middle,Unknown,336.0,318.0,Unknown,Unpatched Software,VPN,417.0
Australia,2020.9874943395848,Malware,Telecommunications,287.0,318.0,Hacker Group,Zero-day,AI-based Detection,
Russia,2023.8732183314576,Malware,Banking,287.0,377.0,Nation-state,Social Engineering,Firewall,
Germany,2023.0001114994416,Malware,Government,346.0,376.0,Hacker Group,Unpatched Software,VPN,318.0
China,2022.730840052919,Man-in-the-Middle,Healthcare,376.0,390.0,Nation-state,Unpatched Software,Firewall,355.0
India,2018.0191555205704,Phishing,IT,168.0,221.0,Hacker Group,Unpatched Software,Encryption,286.0
China,2017.941422065917,Malware,IT,130.0,223.0,Insider,Social Engineering,Encryption,218.0
France,2016.078636138412,Phishing,Government,246.0,268.0,Unknown,Zero-day,Encryption,405.0
France,,Ransomware,Retail,287.0,318.0,Unknown,Unpatched Software,VPN,372.0
Japan,2021.9819958888377,Malware,Telecommunications,213.0,265.0,Unknown,Unknown,VPN,232.0
India,2018.0330412933583,DDoS,Government,218.0,253.0,Nation-state,Zero-day,Antivirus,336.0
France,2014.8995399103053,Malware,Education,85.0,139.0,Nation-state,Unpatched Software,Antivirus,325.0
USA,2021.1512939066345,SQL Injection,Telecommunications,439.0,380.0,Unknown,Unpatched Software,Encryption,522.0
Germany,2020.742999857044,Malware,Government,336.0,379.0,Nation-state,Social Engineering,Firewall,328.0
Japan,2016.0400974865977,Unknown,Unknown,141.0,231.0,Nation-state,Unpatched Software,VPN,273.0
UK,2016.8975341947964,SQL Injection,IT,244.0,302.0,Insider,Unpatched Software,Antivirus,342.0
UK,2016.9683116430524,Man-in-the-Middle,Government,133.0,166.0,Unknown,Zero-day,Antivirus,341.0
France,2017.037135921492,SQL Injection,Healthcare,102.0,197.0,Hacker Group,Social Engineering,Encryption,231.0
Germany,2021.019636417328,DDoS,Banking,277.0,320.0,Hacker Group,Unpatched Software,Encryption,296.0
USA,2015.015572918772,Phishing,Education,127.0,180.0,Insider,Social Engineering,Encryption,334.0
Germany,2021.8598796827785,DDoS,IT,287.0,318.0,Hacker Group,Social Engineering,VPN,
China,2022.0851074105867,Ransomware,Telecommunications,287.0,374.0,Unknown,Social Engineering,Antivirus,
USA,2019.7680605202863,Man-in-the-Middle,Telecommunications,143.0,279.0,Nation-state,Zero-day,VPN,132.0
Australia,2019.9118070057004,DDoS,Unknown,333.0,370.0,Unknown,Zero-day,Antivirus,336.0
France,2014.913995807333,SQL Injection,Retail,241.0,277.0,Insider,Unpatched Software,Antivirus,414.0
France,2018.0207326269183,SQL Injection,Retail,348.0,304.0,Nation-state,Unpatched Software,Unknown,517.0
Brazil,2020.0646234288736,DDoS,Retail,262.0,321.0,Unknown,Weak Passwords,Encryption,296.0
USA,2015.973729894394,Phishing,Retail,197.0,253.0,Nation-state,Weak Passwords,AI-based Detection,339.0
USA,2017.866512470556,Phishing,Banking,304.0,310.0,Insider,Zero-day,VPN,438.0
Brazil,2022.902361611023,Unknown,Retail,387.0,416.0,Hacker Group,Social Engineering,AI-based Detection,332.0
Australia,2022.9001003454769,DDoS,Government,471.0,484.0,Insider,Unpatched Software,Encryption,406.0
India,2019.0253487957352,Phishing,Telecommunications,208.0,245.0,Insider,Unpatched Software,AI-based Detection,308.0
Germany,2024.003912518891,Phishing,IT,533.0,484.0,Unknown,Unpatched Software,VPN,483.0
Australia,2015.238046853308,Malware,Retail,66.0,175.0,Insider,Zero-day,Antivirus,212.0
USA,2015.752647877269,Malware,Retail,287.0,,Unknown,Social Engineering,AI-based Detection,342.0
Japan,2017.0991061907,Unknown,Healthcare,205.0,242.0,Unknown,Social Engineering,AI-based Detection,354.0
Australia,2023.9777035372715,Ransomware,Education,397.0,442.0,Insider,Unpatched Software,AI-based Detection,283.0
Russia,2020.8801533583685,SQL Injection,Telecommunications,387.0,372.0,Nation-state,Social Engineering,Firewall,419.0
Australia,2016.0419853777823,Man-in-the-Middle,Government,145.0,218.0,Hacker Group,Unpatched Software,VPN,289.0
UK,2021.0421448995965,SQL Injection,Government,404.0,439.0,Nation-state,Weak Passwords,Encryption,370.0
Unknown,2023.864466273941,Ransomware,Retail,391.0,420.0,Nation-state,Zero-day,Encryption,305.0
Germany,2021.9538890243657,SQL Injection,Retail,391.0,376.0,Unknown,Zero-day,Antivirus,411.0
Russia,2019.8447405752568,DDoS,Healthcare,287.0,,Hacker Group,Weak Passwords,Antivirus,240.0
Unknown,2015.8241854601915,Ransomware,Education,139.0,191.0,Unknown,Unpatched Software,Firewall,311.0
USA,2020.789429675048,Man-in-the-Middle,Education,394.0,404.0,Insider,Zero-day,Firewall,404.0
Russia,2015.8903548597723,SQL Injection,Telecommunications,133.0,211.0,Nation-state,Social Engineering,AI-based Detection,289.0
Japan,2022.1097359633395,DDoS,Education,398.0,420.0,Nation-state,Weak Passwords,VPN,360.0
Australia,2023.9493998561,Ransomware,Government,421.0,416.0,Hacker Group,Social Engineering,Antivirus,376.0
China,2015.164421514025,Malware,Retail,121.0,215.0,Hacker Group,Zero-day,Encryption,264.0
China,2024.036138598873,Ransomware,Telecommunications,458.0,416.0,Unknown,Social Engineering,Antivirus,422.0
France,2023.0891539884824,Malware,Healthcare,485.0,475.0,Unknown,Unpatched Software,Firewall,419.0
India,2022.255289579793,Malware,Government,471.0,452.0,Hacker Group,Social Engineering,Antivirus,424.0
Brazil,2018.9020827288405,SQL Injection,Banking,354.0,364.0,Nation-state,Zero-day,VPN,422.0
UK,2016.735070898961,DDoS,IT,242.0,261.0,Unknown,Zero-day,Antivirus,389.0
USA,2017.010995493247,SQL Injection,Banking,290.0,287.0,Unknown,Social Engineering,AI-based Detection,441.0
Unknown,2020.224024958924,SQL Injection,Unknown,195.0,247.0,Unknown,Social Engineering,Antivirus,267.0
Japan,2021.8288369376496,Phishing,Government,297.0,323.0,Unknown,Unpatched Software,Firewall,312.0
China,2018.906397752077,Ransomware,Retail,261.0,270.0,Nation-state,Zero-day,VPN,372.0
Australia,2015.952795285821,Man-in-the-Middle,Healthcare,231.0,283.0,Insider,Unpatched Software,Antivirus,363.0
Australia,,Malware,Healthcare,287.0,,Nation-state,Unknown,AI-based Detection,334.0
India,2022.1672386936607,DDoS,Healthcare,335.0,350.0,Insider,Unpatched Software,AI-based Detection,334.0
Russia,,Malware,Education,287.0,318.0,Unknown,Unpatched Software,Antivirus,372.0
Russia,2014.779850383394,Malware,IT,72.0,196.0,Unknown,Zero-day,VPN,209.0
Brazil,2022.9428474901936,Malware,,368.0,354.0,Nation-state,Zero-day,AI-based Detection,372.0
Brazil,2020.9192144445003,Malware,Healthcare,446.0,435.0,Unknown,Unpatched Software,Encryption,443.0
India,2021.2623691878528,Man-in-the-Middle,Telecommunications,,311.0,Insider,Social Engineering,VPN,342.0
Australia,2019.0927831564056,Man-in-the-Middle,Banking,287.0,286.0,Insider,Social Engineering,Firewall,342.0
Australia,2016.933714234327,Man-in-the-Middle,Telecommunications,246.0,267.0,Insider,Zero-day,Firewall,405.0
Japan,2018.1505749550508,Man-in-the-Middle,Retail,339.0,329.0,Hacker Group,Social Engineering,Antivirus,471.0
India,2016.917317329193,Man-in-the-Middle,Government,304.0,295.0,Hacker Group,Unpatched Software,AI-based Detection,477.0
Australia,2019.8447405752568,Man-in-the-Middle,Healthcare,287.0,318.0,Hacker Group,Zero-day,Antivirus,343.0
Brazil,2015.9846042766264,Unknown,Healthcare,287.0,156.0,Unknown,Unpatched Software,Antivirus,342.0
Russia,2019.8447405752568,Phishing,Banking,,,Insider,Weak Passwords,Encryption,342.0
Germany,2022.2584799545589,DDoS,Telecommunications,266.0,335.0,Nation-state,Social Engineering,AI-based Detection,222.0
Russia,2023.0338741848063,Ransomware,Telecommunications,451.0,417.0,Hacker Group,Weak Passwords,Unknown,456.0
Russia,2015.920119937111,SQL Injection,Healthcare,117.0,203.0,Unknown,Social Engineering,VPN,250.0
China,2014.9024574165096,Man-in-the-Middle,Retail,212.0,190.0,Hacker Group,Zero-day,VPN,478.0
Germany,2017.9373342297708,Phishing,Government,287.0,318.0,Nation-state,Weak Passwords,VPN,
USA,2020.8525462909388,DDoS,Telecommunications,390.0,378.0,Hacker Group,Weak Passwords,Firewall,436.0
USA,2017.8622231264644,Malware,Healthcare,291.0,286.0,Insider,Weak Passwords,Antivirus,430.0
Japan,2021.0557938831944,SQL Injection,Telecommunications,263.0,351.0,Unknown,Social Engineering,Firewall,214.0
Russia,2018.963492890648,Man-in-the-Middle,Unknown,279.0,284.0,Unknown,Weak Passwords,Unknown,374.0
UK,2019.087786461545,Phishing,Retail,238.0,286.0,Unknown,Social Engineering,Firewall,315.0
Germany,,Phishing,Telecommunications,287.0,318.0,Unknown,Unknown,Encryption,337.0
UK,2016.053430243072,Phishing,Healthcare,315.0,334.0,Unknown,Unpatched Software,Encryption,437.0
Brazil,2015.8182708225097,Malware,IT,193.0,215.0,,Social Engineering,AI-based Detection,387.0
Germany,2024.117106392437,Malware,Banking,505.0,471.0,Insider,Zero-day,Firewall,456.0
Japan,2022.0062502144103,DDoS,Education,415.0,412.0,Hacker Group,Weak Passwords,Antivirus,401.0
India,2022.935109806048,Phishing,Telecommunications,,318.0,Insider,Zero-day,AI-based Detection,
UK,2016.986231011508,Phishing,Telecommunications,110.0,200.0,Insider,Social Engineering,VPN,234.0
Unknown,2014.8678435831048,Ransomware,Government,231.0,281.0,Nation-state,Unpatched Software,Antivirus,376.0
Brazil,2020.0381102696235,Malware,Banking,351.0,357.0,Nation-state,Weak Passwords,Firewall,402.0
Brazil,2019.8447405752568,Malware,Banking,287.0,,,Weak Passwords,AI-based Detection,322.0
India,2016.1149713461907,Ransomware,Retail,199.0,258.0,Insider,Zero-day,Firewall,332.0
China,2018.8226850627595,DDoS,Retail,287.0,318.0,Nation-state,Weak Passwords,Antivirus,
Australia,2021.972417680916,DDoS,Telecommunications,325.0,313.0,Nation-state,Social Engineering,Unknown,402.0
Brazil,2022.8426810406163,Man-in-the-Middle,Banking,347.0,385.0,Unknown,Social Engineering,Firewall,292.0
UK,2021.971795325432,Ransomware,Government,355.0,341.0,Insider,Weak Passwords,Antivirus,402.0
France,,Ransomware,Banking,287.0,,Unknown,Unpatched Software,AI-based Detection,
Japan,2016.9834188133404,Phishing,IT,191.0,227.0,Hacker Group,Unknown,Firewall,365.0
USA,2017.030859761408,Malware,IT,302.0,319.0,Nation-state,Unpatched Software,Antivirus,413.0
USA,2020.83539318514,Man-in-the-Middle,Education,301.0,333.0,Unknown,Zero-day,VPN,320.0
Russia,2020.8641905209463,SQL Injection,Telecommunications,361.0,393.0,Insider,Unpatched Software,VPN,356.0
Japan,2014.9273591349447,Malware,Healthcare,146.0,225.0,Hacker Group,Weak Passwords,AI-based Detection,299.0
UK,2014.7319967909984,Ransomware,IT,56.0,178.0,Unknown,Weak Passwords,Unknown,198.0
France,2020.0310550629745,Phishing,Government,183.0,285.0,Insider,Zero-day,VPN,195.0
Japan,2017.066813214832,Man-in-the-Middle,Retail,204.0,268.0,Nation-state,Zero-day,VPN,308.0
France,2015.13006897792,SQL Injection,Government,157.0,237.0,Insider,Zero-day,VPN,303.0
Australia,2023.9688529286443,Phishing,Retail,506.0,451.0,Hacker Group,Social Engineering,AI-based Detection,493.0
Australia,2023.068122297144,SQL Injection,Healthcare,399.0,394.0,Nation-state,Zero-day,Encryption,373.0
China,2015.057909008203,DDoS,Government,85.0,214.0,Nation-state,Social Engineering,Firewall,204.0
Japan,2022.041891060257,SQL Injection,Telecommunications,503.0,470.0,Insider,Unpatched Software,Firewall,478.0
Russia,2018.972340584388,Man-in-the-Middle,Healthcare,299.0,265.0,Unknown,Zero-day,Encryption,441.0
Brazil,2016.22257669682,SQL Injection,Education,259.0,275.0,Unknown,Zero-day,Encryption,422.0
Brazil,2016.1803908437128,DDoS,IT,309.0,367.0,Hacker Group,Unknown,Unknown,391.0
France,2022.040686779967,Malware,Healthcare,334.0,308.0,Hacker Group,Social Engineering,VPN,401.0
Germany,2020.8410072161832,Ransomware,IT,258.0,297.0,Nation-state,Social Engineering,AI-based Detection,299.0
UK,2023.1736886060469,DDoS,Government,287.0,,Hacker Group,Unpatched Software,VPN,342.0
India,2021.983237259456,Ransomware,Education,331.0,356.0,Unknown,Unpatched Software,AI-based Detection,317.0
Unknown,2019.212038827911,DDoS,Government,338.0,324.0,Nation-state,Zero-day,Firewall,437.0
China,2018.895973683219,Phishing,Banking,247.0,341.0,Insider,Social Engineering,Firewall,253.0
India,2017.955580447274,DDoS,Government,287.0,290.0,Insider,Unknown,VPN,342.0
India,2015.0096306120176,Malware,Telecommunications,55.0,149.0,Insider,Zero-day,Encryption,249.0
France,2016.6612216955607,Ransomware,Telecommunications,162.0,225.0,Hacker Group,Zero-day,Encryption,294.0
Germany,2017.05591459395,Malware,Healthcare,256.0,285.0,Unknown,Social Engineering,VPN,379.0
Brazil,2015.0473154118708,Unknown,Healthcare,312.0,304.0,Insider,Unpatched Software,Firewall,501.0
Japan,2020.1689360643948,Phishing,Education,254.0,304.0,Hacker Group,Weak Passwords,Antivirus,291.0
Unknown,2024.0142727571604,Phishing,Education,340.0,345.0,Nation-state,Zero-day,Antivirus,297.0
Russia,2017.0750089268265,Phishing,IT,234.0,266.0,Nation-state,Social Engineering,Antivirus,354.0
China,2022.099717511295,Ransomware,Telecommunications,287.0,318.0,Unknown,Zero-day,Antivirus,
UK,2016.1387066526663,SQL Injection,IT,287.0,318.0,Unknown,Unpatched Software,Antivirus,342.0
Japan,2018.0783870052044,Ransomware,Retail,122.0,202.0,Nation-state,Weak Passwords,AI-based Detection,223.0
France,2015.219119806874,SQL Injection,IT,287.0,318.0,Hacker Group,Social Engineering,Firewall,342.0
Japan,2019.8447405752568,Malware,Banking,405.0,390.0,Hacker Group,Zero-day,Firewall,463.0
UK,2015.1291677503807,Phishing,IT,122.0,215.0,Hacker Group,Zero-day,Encryption,278.0
Brazil,2020.9894536669656,SQL Injection,Healthcare,296.0,335.0,Unknown,Weak Passwords,AI-based Detection,313.0
Russia,2014.8380399475384,Malware,Healthcare,26.0,121.0,Nation-state,Zero-day,Unknown,240.0
India,2015.882613251705,Phishing,Retail,282.0,273.0,Nation-state,Unpatched Software,AI-based Detection,478.0
Japan,2019.933512705028,Ransomware,IT,287.0,352.0,Unknown,Social Engineering,VPN,
Germany,2022.9328067596336,Man-in-the-Middle,Telecommunications,394.0,423.0,Unknown,Weak Passwords,AI-based Detection,327.0
China,2016.1696462119824,Malware,Healthcare,234.0,294.0,Unknown,Weak Passwords,Firewall,340.0
Japan,2022.9948960066329,Unknown,Banking,377.0,398.0,Nation-state,Social Engineering,Encryption,333.0
China,2024.121243412236,Unknown,Education,500.0,485.0,Unknown,Zero-day,Antivirus,434.0
China,2018.800785815249,Ransomware,IT,262.0,263.0,Hacker Group,Weak Passwords,VPN,397.0
